step,epoch,batch,loss,cls_loss,ra_loss,lr
1060,1,1060,35.504981994628906,0.7083617448806763,34.7966194152832,0.0001
1080,1,1080,35.5694580078125,0.6421810984611511,34.927276611328125,0.0001
1100,1,1100,35.775779724121094,0.6773686408996582,35.098411560058594,0.0001
1120,1,1120,36.80885696411133,0.623537540435791,36.18531799316406,0.0001
1140,1,1140,35.58256912231445,0.6116218566894531,34.970947265625,0.0001
1160,1,1160,35.39042663574219,0.618285059928894,34.77214050292969,0.0001
1180,1,1180,38.86372756958008,0.6560133695602417,38.20771408081055,0.0001
1200,1,1200,35.93496322631836,0.7570475339889526,35.17791748046875,0.0001
1220,1,1220,35.412841796875,0.6301628947257996,34.78268051147461,0.0001
1240,1,1240,35.84313201904297,0.6467041373252869,35.19642639160156,0.0001
1260,1,1260,35.9996223449707,0.6561380624771118,35.343482971191406,0.0001
1280,1,1280,35.27071762084961,0.5149567127227783,34.755760192871094,0.0001
1300,1,1300,35.36534118652344,0.5893033742904663,34.776039123535156,0.0001
1320,1,1320,35.35875701904297,0.603408694267273,34.755348205566406,0.0001
1340,1,1340,35.55386734008789,0.5660421252250671,34.987823486328125,0.0001
1360,1,1360,36.548545837402344,0.6766210794448853,35.871925354003906,0.0001
1380,1,1380,36.88161087036133,0.6883351802825928,36.193275451660156,0.0001
1400,1,1400,36.845767974853516,0.5620683431625366,36.28369903564453,0.0001
1420,1,1420,35.45439910888672,0.5891121625900269,34.86528778076172,0.0001
1440,1,1440,37.93819046020508,0.6270784735679626,37.31111145019531,0.0001
1460,1,1460,35.4345817565918,0.6564215421676636,34.778160095214844,0.0001
1480,1,1480,35.45710754394531,0.7047013640403748,34.75240707397461,0.0001
1500,1,1500,35.77151107788086,0.7080543041229248,35.06345748901367,0.0001
1520,1,1520,35.65085983276367,0.7539288997650146,34.89693069458008,0.0001
1540,1,1540,36.1970100402832,0.6404287815093994,35.55657958984375,0.0001
1560,1,1560,36.39392852783203,0.5665284395217896,35.82740020751953,0.0001
1580,1,1580,35.5616340637207,0.5835617780685425,34.97807312011719,0.0001
1600,1,1600,35.733089447021484,0.5850199460983276,35.1480712890625,0.0001
1620,1,1620,35.57407760620117,0.540031373500824,35.0340461730957,0.0001
1640,1,1640,35.79718780517578,0.618328869342804,35.17885971069336,0.0001
1660,1,1660,35.744747161865234,0.6230931282043457,35.12165451049805,0.0001
1680,1,1680,35.513214111328125,0.637273907661438,34.875938415527344,0.0001
1700,1,1700,35.793426513671875,0.6762166023254395,35.117210388183594,0.0001
1720,1,1720,35.53266906738281,0.5491760969161987,34.98349380493164,0.0001
